codigo_sku,nome_projeto,segmentacao_prioridade,estoque_atual,consumo_medio_diario,cobertura_dias,acao_ressuprimento,sinal_redistribuicao
BTB0125,BikeSSA,B,318,"5,2","61,15",excesso de estoque,sem oportunidade clara
BTB0144,BikeBSB,B,81,1,81,excesso de estoque,sem oportunidade clara
BTB0169N,BikeRio,B,442,"9,75","45,33",excesso de estoque,sem oportunidade clara
BBET0157,BikePoa,C,58,1,58,excesso de estoque,sem oportunidade clara
BEFN0140,BikeRio,C,775,"1,88","413,33",excesso de estoque,sem oportunidade clara
BEFN0143,BikeRio,C,153,1,153,excesso de estoque,sem oportunidade clara
BEFN0149,BikeRio,C,965,15,"64,33",excesso de estoque,sem oportunidade clara
BII0055,BikeCuritiba,C,99,2,"49,5",excesso de estoque,sem oportunidade clara
BTB0012,BikeCuritiba,C,161,1,161,excesso de estoque,sem oportunidade clara
BTB0012,BikePE,C,203,"1,43","142,1",excesso de estoque,sem oportunidade clara
BTB0012,BikePoa,C,154,1,154,excesso de estoque,sem oportunidade clara
BTB0012,BikeRio,C,325,"2,86","113,75",excesso de estoque,sem oportunidade clara
BTB0012,BikeSSA,C,308,3,"102,67",excesso de estoque,sem oportunidade clara
BTB0012,BikeSampa,C,197,"3,2","61,56",excesso de estoque,sem oportunidade clara
BTB0019N,BikeRio,C,248,"2,17","114,46",excesso de estoque,sem oportunidade clara
BTB0039N,BikeSampa,C,47,1,47,excesso de estoque,sem oportunidade clara
BTB0070N,BikeSSA,C,92,2,46,excesso de estoque,sem oportunidade clara
BTB0090N,BikeBSB,C,204,2,102,excesso de estoque,sem oportunidade clara
BTB0111,BikeRio,C,137,1,137,excesso de estoque,sem oportunidade clara
BBET0005,BikeBH,D,76,1,76,excesso de estoque,sem oportunidade clara
BBET0007,BikeBH,D,250,5,50,excesso de estoque,sem oportunidade clara
BBET0007,BikeFloripa,D,54,1,54,excesso de estoque,sem oportunidade clara
BBET0185,BikeFloripa,D,208,1,208,excesso de estoque,sem oportunidade clara
BBET0201,BikeBH,D,193,2,"96,5",excesso de estoque,sem oportunidade clara
BBET0254,BikeBH,D,272,"1,5","181,33",excesso de estoque,sem oportunidade clara
BEFN0007-3,BikeSampa,D,3.190,"12,5","255,2",excesso de estoque,sem oportunidade clara
BEFN0016,BikeRio,D,1.072,1,1.072,excesso de estoque,sem oportunidade clara
BEFN0083,BikeRio,D,110,2,55,excesso de estoque,sem oportunidade clara
BTB0032-10,BikeRio,D,75,"1,5",50,excesso de estoque,sem oportunidade clara
BTB0080N,BikePoa,D,522,1,522,excesso de estoque,sem oportunidade clara
BTB0080N,BikeSSA,D,470,10,47,excesso de estoque,sem oportunidade clara
BTB0080N,BikeSampa,D,939,"1,8","521,67",excesso de estoque,sem oportunidade clara
